AgeBP1950;Temp;1sigmauncert;Source
9490;1,03;0,32;Marcott
9510;1,04;0,32;Marcott
9530;1,04;0,32;Marcott
9550;1,04;0,32;Marcott
9570;1,04;0,32;Marcott
9590;1,04;0,32;Marcott
9610;1,04;0,32;Marcott
9630;1,04;0,33;Marcott
9650;1,04;0,33;Marcott
9670;1,04;0,32;Marcott
9690;1,03;0,32;Marcott
9710;1,02;0,32;Marcott
9730;1,00;0,32;Marcott
9750;0,98;0,31;Marcott
9770;0,97;0,31;Marcott
9790;0,94;0,32;Marcott
9810;0,93;0,31;Marcott
9830;0,92;0,31;Marcott
9850;0,92;0,31;Marcott
9870;0,91;0,31;Marcott
9890;0,90;0,32;Marcott
9910;0,90;0,32;Marcott
9930;0,89;0,31;Marcott
9950;0,89;0,31;Marcott
9970;0,87;0,30;Marcott
9990;0,86;0,31;Marcott
10010;0,85;0,31;Marcott
10030;0,83;0,31;Marcott
10050;0,80;0,31;Marcott
10070;0,75;0,31;Marcott
10090;0,73;0,31;Marcott
10110;0,74;0,31;Marcott
10130;0,72;0,31;Marcott
10150;0,72;0,31;Marcott
10170;0,74;0,31;Marcott
10190;0,78;0,31;Marcott
10210;0,79;0,31;Marcott
10230;0,67;0,33;Marcott
10250;0,65;0,33;Marcott
10270;0,66;0,35;Marcott
10290;0,66;0,37;Marcott
10310;0,66;0,38;Marcott
10330;0,67;0,39;Marcott
10350;0,67;0,39;Marcott
10370;0,76;0,39;Marcott
10390;0,75;0,39;Marcott
10410;0,73;0,39;Marcott
10430;0,70;0,39;Marcott
10450;0,63;0,39;Marcott
10470;0,58;0,40;Marcott
10490;0,55;0,40;Marcott
10510;0,50;0,40;Marcott
10530;0,48;0,40;Marcott
10550;0,47;0,40;Marcott
10570;0,45;0,40;Marcott
10590;0,42;0,39;Marcott
10610;0,42;0,40;Marcott
10630;0,42;0,40;Marcott
10650;0,42;0,40;Marcott
10670;0,40;0,39;Marcott
10690;0,40;0,40;Marcott
10710;0,41;0,40;Marcott
10730;0,40;0,41;Marcott
10750;0,41;0,43;Marcott
10770;0,44;0,44;Marcott
10790;0,27;0,44;Marcott
10810;0,26;0,45;Marcott
10830;0,26;0,45;Marcott
10850;0,27;0,45;Marcott
10870;0,25;0,46;Marcott
10890;0,24;0,46;Marcott
10910;0,23;0,47;Marcott
10930;0,21;0,46;Marcott
10950;0,19;0,46;Marcott
10970;0,17;0,47;Marcott
10990;0,15;0,47;Marcott
11010;0,13;0,47;Marcott
11030;0,11;0,47;Marcott
11050;0,09;0,48;Marcott
11070;0,07;0,47;Marcott
11090;0,05;0,48;Marcott
11110;0,03;0,48;Marcott
11130;0,00;0,49;Marcott
11150;-0,02;0,49;Marcott
11170;-0,05;0,49;Marcott
11190;-0,08;0,49;Marcott
11210;-0,11;0,51;Marcott
11230;-0,15;0,52;Marcott
11250;-0,20;0,53;Marcott
11270;-0,24;0,54;Marcott
11290;-0,28;0,54;Marcott
